freq_a,freq_b,gap,omega_a,omega_b,method,mean_rel_err
2,32,30,4,34,identity,6.7563869
2,32,30,4,34,real_scalar,0.99994509
2,32,30,4,34,complex_scalar,0.99838527
2,32,30,4,34,diag_complex,0.99581276
2,33,31,4,35,identity,6.9047467
2,33,31,4,35,real_scalar,0.99994223
2,33,31,4,35,complex_scalar,0.99839245
2,33,31,4,35,diag_complex,0.9961182
2,34,32,4,36,identity,7.2585216
2,34,32,4,36,real_scalar,0.99989894
2,34,32,4,36,complex_scalar,0.99830134
2,34,32,4,36,diag_complex,0.99664135
2,35,33,4,37,identity,7.4264371
2,35,33,4,37,real_scalar,0.99988516
2,35,33,4,37,complex_scalar,0.9984161
2,35,33,4,37,diag_complex,0.99726905
2,36,34,4,38,identity,7.4999466
2,36,34,4,38,real_scalar,0.99988951
2,36,34,4,38,complex_scalar,0.99854407
2,36,34,4,38,diag_complex,0.99778713
2,37,35,4,39,identity,7.8151406
2,37,35,4,39,real_scalar,0.99988618
2,37,35,4,39,complex_scalar,0.99858814
2,37,35,4,39,diag_complex,0.99843745
2,38,36,4,40,identity,8.0494971
2,38,36,4,40,real_scalar,0.99990288
2,38,36,4,40,complex_scalar,0.9986904
2,38,36,4,40,diag_complex,0.99910747
2,39,37,4,41,identity,8.1988294
2,39,37,4,41,real_scalar,0.99993215
2,39,37,4,41,complex_scalar,0.99877656
2,39,37,4,41,diag_complex,0.99942299
2,40,38,4,42,identity,8.5183333
2,40,38,4,42,real_scalar,0.99993348
2,40,38,4,42,complex_scalar,0.9987569
2,40,38,4,42,diag_complex,0.99923256
2,41,39,4,43,identity,8.8234836
2,41,39,4,43,real_scalar,0.99991703
2,41,39,4,43,complex_scalar,0.99878897
2,41,39,4,43,diag_complex,0.99900879
2,42,40,4,44,identity,8.9357478
2,42,40,4,44,real_scalar,0.99992198
2,42,40,4,44,complex_scalar,0.99893419
2,42,40,4,44,diag_complex,0.99899797
2,43,41,4,45,identity,9.2141857
2,43,41,4,45,real_scalar,0.99994942
2,43,41,4,45,complex_scalar,0.99903828
2,43,41,4,45,diag_complex,0.99936077
2,44,42,4,46,identity,9.5034814
2,44,42,4,46,real_scalar,0.99998213
2,44,42,4,46,complex_scalar,0.99911306
2,44,42,4,46,diag_complex,0.99967507
2,45,43,4,47,identity,9.5744633
2,45,43,4,47,real_scalar,1.0000086
